,tic,date,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
326,sh.601857,2019-10-31,2019-09-30,0.030558,2.103911,0.706850,0.696378,0.029507,0.646879,0.805101,0.056656
327,sh.601857,2020-03-27,2019-12-31,0.037364,2.112782,0.974422,0.681645,0.026625,0.649240,0.794001,0.051649
328,sh.601857,2020-04-30,2020-03-31,-0.013291,2.235239,0.186466,1.215757,-0.026229,1.250867,2.936726,-0.007140
329,sh.601857,2020-08-28,2020-06-30,-0.024788,2.236387,0.343403,1.285463,-0.025109,1.259353,3.680310,-0.005417
330,sh.601857,2020-10-30,2020-09-30,0.008246,2.171304,0.538167,0.486771,0.014497,0.481340,1.771185,0.017004
331,sh.601857,2021-03-26,2020-12-31,0.015538,2.134878,0.740708,0.567546,0.017313,0.597139,0.704615,0.041148
332,sh.601888,2019-04-27,2019-03-31,0.132768,1.593656,0.494697,0.889388,0.189351,0.772704,1.008932,0.242881
333,sh.601888,2019-08-31,2019-06-30,0.188929,1.571097,0.892731,0.849581,0.158552,0.770018,1.025840,0.200720
334,sh.601888,2019-10-30,2019-09-30,0.234961,1.569205,1.269933,0.851125,0.138530,0.761987,0.989615,0.183708
335,sh.601888,2020-04-23,2019-12-31,0.256276,1.592657,1.667394,0.854891,0.112885,0.756194,1.044787,0.142882
336,sh.601888,2020-04-23,2020-03-31,-0.006047,1.525362,0.251940,0.252480,-0.062318,0.856137,0.909404,-0.080041
